蘋果花了多少錢？ %get_info%
書本花了多少錢？ %get_info%
衣服花了多少錢？ %get_info%
鞋子花了多少錢？ %get_info%
筆記本花了多少錢？ %get_info%
咖啡花了多少錢？ %get_info%
鉛筆花了多少錢？ %get_info%
電子產品花了多少錢？ %get_info%
玩具花了多少錢？ %get_info%
圖書花了多少錢？ %get_info%
蛋糕花了多少錢？ %get_info%
裝飾品花了多少錢？ %get_info%
燈具花了多少錢？ %get_info%
遊戲花了多少錢？ %get_info%
餅乾花了多少錢？ %get_info%
購物袋花了多少錢？ %get_info%
飲料花了多少錢？ %get_info%
玩偶花了多少錢？ %get_info%
盆栽花了多少錢？ %get_info%
紙張花了多少錢？ %get_info%
運動器材花了多少錢？ %get_info%
記憶卡花了多少錢？ %get_info%
甜點花了多少錢？ %get_info%
桌遊花了多少錢？ %get_info%
衛生紙花了多少錢？ %get_info%
玩偶花了多少錢？ %get_info%
咖啡豆花了多少錢？ %get_info%
影片花了多少錢？ %get_info%
筆記本電腦花了多少錢？ %get_info%
香水花了多少錢？ %get_info%
蘋果花了多少錢？ %get_info%
書籍花了多少錢？ %get_info%
麵包花了多少錢？ %get_info%
鉛筆花了多少錢？ %get_info%
洗衣粉花了多少錢？ %get_info%
衣服花了多少錢？ %get_info%
蠟燭花了多少錢？ %get_info%
手機花了多少錢？ %get_info%
咖啡花了多少錢？ %get_info%
鞋子花了多少錢？ %get_info%
電視花了多少錢？ %get_info%
食物花了多少錢？ %get_info%
餅乾花了多少錢？ %get_info%
筆記本花了多少錢？ %get_info%
水果花了多少錢？ %get_info%
花費在椅子上的錢是多少？ %get_info%
珠寶花了多少錢？ %get_info%
汽車花了多少錢？ %get_info%
筆花了多少錢？ %get_info%
足球花了多少錢？ %get_info%
樂器花了多少錢？ %get_info%
鞋垫花了多少錢？ %get_info%
裝飾品花了多少錢？ %get_info%
椅子花了多少錢？ %get_info%
超市購物的總價是多少？ %get_info%
玩具花了多少錢？ %get_info%
遊戲機花了多少錢？ %get_info%
服裝花了多少錢？ %get_info%
汽水花了多少錢？ %get_info%
購買的總價是多少？ %get_info%
